Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
ST. JOHN'S NYANGITI PRY SCH,NYANZA,KURIA,KURIA,KEHANCHA,BUKIRA WEST,NYANGITI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.49908,-1.25130,8
ST. JOHNS NYARONGI ECD,NYANZA,MIGORI,MIGORI,SUBA EAST,NORTH SUNA,OTACHO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANISATION,34.37179,-0.99965,1
ST. JOHNS NYARONGI PRI,NYANZA,MIGORI,MIGORI,SUBA EAST,NORTH SUNA,OTACHO,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANISATION,34.37179,-0.99965,12
ST. JOHNS NYARONGI SPECIAL UNIT,NYANZA,MIGORI,MIGORI,SUBA EAST,NORTH SUNA,OTACHO,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANISATION,34.37179,-0.99965,3
ST. JOHN'S NYAWAWA ECD,NYANZA,HOMA BAY,RANGWE,RANGWE,GEM CENTRAL,GENGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.61428,-0.64558,3
ST. JOHN'S NYAWAWA PRY SCH,NYANZA,HOMA BAY,RANGWE,RANGWE,GEM CENTRAL,GENGA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.61428,-0.64558,8
ST. JOHN'S OBOCH SEC SCH,NYANZA,BONDO,RARIEDA,RARIEDA,CENTRAL ASEMBO,SOUTH RAMBA,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.41099,-0.07794,5
ST. JOHN'S PRE-PRIMARY,COAST,TAITA TAVETA,TAVETA,TAVETA,KIMORIGO,KIMORIGO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.68641,-3.47424,1
ST. JOHN'S PRIMARY,COAST,TAITA TAVETA,TAVETA,TAVETA,KIMORIGO,KIMORIGO,PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.68641,-3.47424,6
ST. JOHN'S PRIMARY SCH,RIFT VALLEY,NAKURU,NAKURU TOWN,NAKURU MUNI.,LANET,LANET,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.11476,-0.27445,
ST. JOHNS SCH GIRLS SEC KIANJUKI,EASTERN,EMBU,RUNYENJES,NEMBURE,GATURI NORTH,KIANJUKI,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.50613,-0.44157,6
ST. JOHN'S SECONDARY,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,MGANGE,MGANGE NYIKA,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.30889,-3.39525,8
