Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
2005 MUNICIPALITY MARIAKANI NUR SCH,RIFT VALLEY,LAIKIPIA,LAIKIPIA WEST,NYAHURURU,MAINA,MAINA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.34676,0.05122,
2005 MUNICIPALITY MARIAKANI PRI SCH,RIFT VALLEY,LAIKIPIA,LAIKIPIA WEST,NYAHURURU,MAINA,MAINA,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.34676,0.05122,
39 BRIDGE ACADEMY NUR,EASTERN,MACHAKOS,,MAVOKO,SETTLED AREA,ATHI RIVER TOWNSHIP,PRIMARY SCHOOL,PRIVATE,,36.97636,-1.44281,0
39 BRIGE ACADEMY PRI,EASTERN,MACHAKOS,,MAVOKO,SETTLED AREA,ATHI RIVER TOWNSHIP,PRIMARY SCHOOL,PRIVATE,,36.97636,-1.44281,0
3-WAY ACADEMY PRI SCH,RIFT VALLEY,NAKURU,MOLO,MOLO,MOLO,MOLO,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.71360,-0.23212,
3-WAY ECD,RIFT VALLEY,NAKURU,MOLO,MOLO,MOLO,MOLO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.71360,-0.23212,
64 SEC SCH,RIFT VALLEY,UASIN GISHU,ELDORET NORTH,TURBO,KAPYEMIT,HURUMA,SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.25843,0.52103,
7 FOLKS PRI,EASTERN,MBEERE,GACHOKA,GACHOKA,GICHICHE,NJIGO,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.75295,-0.78764,17
A C C & S ECD,NORTH EASTERN,GARISSA,DUJIS,CENTRAL - GARISSA,TOWNSHIP,TOWNSHIP,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,39.64703,-0.44042,3
A C C & S PRIMARY,NORTH EASTERN,GARISSA,DUJIS,CENTRAL - GARISSA,TOWNSHIP,TOWNSHIP,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,39.64703,-0.44042,10
A D C ECD,NORTH EASTERN,GARISSA,DUJIS,CENTRAL - GARISSA,TOWNSHIP,GALBET,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,39.63642,-0.41980,0
A HAPPY OFFER CHILDRENS CENTER,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,KAYOLE,KAYOLE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.91638,-1.27759,0
A HAPPY OFFER CHILDRENS CENTER ECD,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,KAYOLE,KAYOLE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.91638,-1.27759,0
A I C OLENGURUONE NURSERY,RIFT VALLEY,NAKURU,KURESOI,OLENGURUONE,AMALO,AMALO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.68636,-0.58489,
A RAY OF HOPE ACADEMY ECD,COAST,MOMBASA MUNICIPALITY,CHANGAMWE,CHANGAMWE,PORT REITZ,MWIJABU,ECD/PRE-PRIMARY SCHOOL,,,39.61907,-4.02024,0
A RAY OF HOPE ACADEMY PRI,COAST,MOMBASA MUNICIPALITY,CHANGAMWE,CHANGAMWE,PORT REITZ,MWIJABU,PRIMARY SCHOOL,,,39.61907,-4.02024,0
A -Z ECD,WESTERN,BUSIA,NAMBALE,MATAYOS,TOWNSHIP,TOWNSHIP,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.09883,0.46224,0
A. I. C   ECD,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA,NAIVASHA EAST,MARAIGUSHU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.52984,-0.74671,
A.B.C CHOKAA PRE-SCHOOL,COAST,TAITA TAVETA,TAVETA,TAVETA,CHALA,CHALA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.73098,-3.23127,1
A.B.C MAKUTANO KABAA YOUTH POLYTECHNIC,EASTERN,MACHAKOS,YATTA,YATTA,KITHIMANI,KAMBI YA NDEKE,YOUTH POLYTECHNIC,PUBLIC,RELIGIOUS ORGANIZATION,37.46360,-1.19381,2
A.B.C SIR RAMSON PRE-SCHOOL ECD,COAST,TAITA TAVETA,TAVETA,TAVETA,NJUKINI,NJUKINI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.74693,-3.21367,1
A.B.C YOUTH POLYTECHNIC,COAST,TAITA TAVETA,TAVETA,TAVETA,NJUKINI,CHUMVINI,YOUTH POLYTECHNIC,PUBLIC,RELIGIOUS ORGANIZATION,37.71177,-3.20238,0
A.B.C. KWANGENGI SECONDARY,EASTERN,MACHAKOS,KATHIANI,KATHIANI,KATHIANI,NGOLENI,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.28906,-1.40565,3
A.B.C. SYULUNGUNI NURSERY,EASTERN,MACHAKOS,KATHIANI,KATHIANI,MITABONI,KINYAU,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.23971,-1.31943,1
A.C BUTONGE SECONDARY,WESTERN,BUNGOMA,SIRISIA,MALAKISI,MALAKISI,BUTONGE,SECONDARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.47002,0.71653,10
A.C KIRAMBA ECD,EASTERN,MERU NORTH,IGEMBE,AKACHIU,NDUGUTO,AMUNJU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.95057,0.15005,1
A.C KITHUNGUINI PRE-SCHOOL,EASTERN,MACHAKOS,KATHIANI,KATHIANI,IVETI,KALILUNI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.32024,-1.48215,1
A.C MBANDA NURSERY,EASTERN,MACHAKOS,YATTA,YATTA,MAVOLONI,KWANDOLO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.41844,-1.03035,0
A.C. MBEE PRE-SCHOOL,EASTERN,MACHAKOS,KATHIANI,KATHIANI,KATHIANI,MBEE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.30228,-1.42466,1
A.C.C & S ECD,CENTRAL,THIKA,GATANGA,GATANGA,KIGORO,KIGORO,PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.86866,-0.82473,1
A.C.C AND S ZIMMERMAN ACADEMY,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,KASARANI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.89311,-1.21114,3
A.C.C AND S ZIMMERMAN ACADEMY ECD,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,KASARANI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.89311,-1.21114,3
A.C.C. & S RWEGETHA NURSERY SCH,CENTRAL,THIKA,GATANGA,GATANGA,GATANGA,KIGIO,PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.90965,-0.90953,1
A.C.K GACHOGI PRE-UNIT,CENTRAL,MURANGA,KANGEMA,KANGEMA,RWATHIA,KIHOYA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.88296,-0.64451,1
A.C.K GATUYA ECD,CENTRAL,MURANGA,KIHARU,KAHURO,MURARANDIA,GATUYA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,NGO/CBO,36.96342,-0.73737,2
A.C.K GATUYA SPECIAL UNIT,CENTRAL,MURANGA,KIHARU,KAHURO,MURARANDIA,GATUYA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.96342,-0.73737,1
A.C.K GITWEKU JUNIOR SCHOOL ECD,CENTRAL,MURANGA,KIHARU,KAHURO,WEITHAGA,WANGU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.96919,-0.70085,1
A.C.K IHIGA PRE-UNIT,CENTRAL,MURANGA,KANGEMA,KANGEMA,IYEGO,GIKUI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.00563,-0.67707,2
A.C.K KAHARI NURSERY,CENTRAL,MURANGA,MATHIOYA,MATHIOYA,KIRU,KIAMBUTHIA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.92173,-0.61870,1
A.C.K KANJOO ECD,EASTERN,MERU NORTH,,IGEMBE EAST,NGUYUYU,KANJOO,,,,38.05525,0.22549,0
A.C.K KATHAWENE ECD,EASTERN,MERU NORTH,,IGEMBE S/EAST,KINDANI,THAICU,,,,38.02148,0.20855,0
A.C.K KIHINGO ACADEMY NURSERY,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,RIABAI,KIHINGO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.82125,-1.15464,2
A.C.K KILINYAA NUR,EASTERN,KITUI,KITUI CENTRAL,CHULUNI,MBUSYANI,MBUSYANI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.98278,-1.54291,0
A.C.K MATUNDA PRE-PRI SCH,CENTRAL,THIKA,GATANGA,KAKUZI,KAKUZI,GITUAMBA,PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.33564,-1.05628,1
A.C.K MGOMBEZI ECD,COAST,KWALE,MSAMBWENI,LUNGA LUNGA,LUNGA LUNGA,SEGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,39.13486,-4.50260,1
A.C.K MIHUTI NURSERY,CENTRAL,MURANGA,MATHIOYA,MATHIOYA,GITUGI,MIHUTI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.95848,-0.66042,2
A.C.K MITHANGA,EASTERN,MACHAKOS,KATHIANI,KATHIANI,IVETI,KOMBU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.32939,-1.46694,1
A.C.K MWANYANI PRE SCH,EASTERN,MAKUENI,MAKUENI,MBITINI,MULALA,MAATHA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.50875,-2.02785,1
A.C.K NAMWESI ECD,WESTERN,BUNGOMA,SIRISIA,MALAKISI,MALAKISI,SITABICHA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.44773,0.70151,2
A.C.K NAMWESI PRIMARY,WESTERN,BUNGOMA,SIRISIA,MALAKISI,MALAKISI,SITABICHA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.44773,0.70151,9
A.C.K PRE-SCHOOL,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,KYOME,KYOME,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.06493,-1.03177,1
A.C.K PRE-SCHOOL,EASTERN,MACHAKOS,YATTA,YATTA,NDALANI,NDALANI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.48840,-1.09973,1
A.C.K SAINT PETERS ACADEMY,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,NDUMBERI,NDUMBERI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.80039,-1.14899,5
A.C.K ST JAMES ACADEMY ECD,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,NDUMBERI,MUNICIPALITY,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.82778,-1.16776,3
A.C.K ST JAMES ACADEMY PRI,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,NDUMBERI,MUNICIPALITY,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.82778,-1.16776,14
A.C.K ST JOHN KIRU,CENTRAL,MURANGA,MATHIOYA,MATHIOYA,KIRU,KANJAMA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.94702,-0.60579,1
A.C.K ST MARY,CENTRAL,KIAMBU,KIAMBAA,MUNICIPALITY,SETTLED AREA,THINDIGWA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.84728,-1.20670,3
A.C.K ST PAUL MUHUTI  PRI SCH,CENTRAL,MURANGA,MATHIOYA,MATHIOYA,GITUGI,MIHUTI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.95848,-0.66042,2
A.C.K ST PETERS NURSERY,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,NDUMBERI,NDUMBERI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.80039,-1.14899,5
A.C.K ST STEPHEN KIAMBUGI PRI SCH,CENTRAL,MURANGA,KIHARU,KIHARU,GATURI,GATHUKEINI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.08066,-0.63844,6
A.C.K ST. BARTHOLOMEW SECONDARY,COAST,TAITA TAVETA,MWATATE,TAUSA,MBOLOLO,MRARU,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.53396,-3.38698,8
A.C.K ST. JOSEPHS PRE-SCHOOL,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,KYOME,KYOME,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.04247,-1.05680,1
A.C.K ST. PETERS E.C.D,RIFT VALLEY,NAKURU,MOLO,ELBURGON,TURI,TURI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.75726,-0.27760,
A.C.K ST. PETERS MUGURU ACADEMY,CENTRAL,MURANGA,KANGEMA,KANGEMA,MUGURU,GAKIRA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.96162,-0.68132,1
A.C.K ST. PETERS MUGURU PRI SCH,CENTRAL,MURANGA,KANGEMA,KANGEMA,MUGURU,GAKIRA,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.96162,-0.68132,4
A.C.K WATUHA NURSERY,CENTRAL,MURANGA,KANGEMA,KANGEMA,MUGURU,WATUHA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.99356,-0.68132,1
A.C.K WOTE TOWNSHIP PRI,EASTERN,MAKUENI,MAKUENI,WOTE,WOTE,UNOA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.61429,-1.78776,10
A.C.K. GAKUGO NURSERY,CENTRAL,MURANGA,,KAHURO,MURARANDIA,GATUYA,ECD/PRE-PRIMARY SCHOOL,,,36.98746,-0.72817,0
A.C.K. PRE-SCH,CENTRAL,NYANDARUA,OL_KALOU,OL JORO OROK,GATHANJI,GATHANJI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.32783,-0.03365,2
A.C.K. ST. MICHAEL'S & ALL ANGELS CHURCH NURSERY,CENTRAL,THIKA,JUJA,RUIRU,RUIRU,RUIRU,PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.95637,-1.14127,2
A.C.K. ST. MICHAEL'S & ALL ANGELS CHURCH PRI,CENTRAL,THIKA,JUJA,RUIRU,RUIRU,RUIRU,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.95637,-1.14127,9
A.C.K. ST. PHILIPS KAHATIA NURSEY,CENTRAL,MURANGA,KIHARU,KIHARU,MBIRI,GIKANDU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.10622,-0.71164,1
A.C.K. TUTHU NURSERY,CENTRAL,MURANGA,KANGEMA,KANGEMA,KIRURI,TUTHU,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.82930,-0.66543,1
A.C.K. TUURU ECD,EASTERN,MERU NORTH,NTONYIRI,LAARE,AKIRIANG'ONDU,MACHUNGULU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.93285,0.31316,1
A.D.C ECD,RIFT VALLEY,NANDI SOUTH,TINDERET,NANDI HILLS,NANDI HILLS,KAPNG'ENTUNY,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.18405,0.11234,
A.E.P.C HANNAH NURSERY SCH,EASTERN,MERU NORTH,IGEMBE,IGEMBE CENTRAL,MAUA,KAIBU,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.93693,0.24086,3
A.E.P.C HANNAH PRY SCH,EASTERN,MERU NORTH,IGEMBE,IGEMBE CENTRAL,MAUA,KAIBU,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.93693,0.24086,9
A.G.C NUR SCH,RIFT VALLEY,KERICHO,KIPKELION,LONDIANI,KEDOWA,KIMASIAN,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.54816,-0.21070,
A.H.P. WORKSHOP NUR SCH,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,CHEMOGONDAI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,35.28691,-0.41189,
A.H.P. WORKSHOP PRI SCH,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,CHEMOGONDAI,PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.28859,-0.41005,
A.I.C BEREA ECD,RIFT VALLEY,BURETI,BURETI,BURETI,TECHOGET,AROKYET,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,35.09432,-0.60855,
A.I.C CHAMANI NURSERY,COAST,TAITA TAVETA,VOI,VOI,MARUNGU,MAUNGU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.73055,-3.60403,1
A.I.C EMMAUS PRE SCHOOL,RIFT VALLEY,BURETI,BURETI,BURETI,LITEIN,LITEIN,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.18803,-0.58445,
A.I.C EMMAUS SCHOOL PRI,RIFT VALLEY,BURETI,BURETI,BURETI,LITEIN,LITEIN,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.18803,-0.58445,
A.I.C GETARWET ACADEMY,RIFT VALLEY,BURETI,BURETI,RORET,CHEMOSOT,KAPRORET,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.15060,-0.51923,
A.I.C GETARWET ACADEMY,RIFT VALLEY,BURETI,BURETI,RORET,CHEMOSOT,KAPRORET,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.15060,-0.51923,
A.I.C GIKUNI ACADEMY,CENTRAL,KIAMBU,,KIKUYU,NYATHUNA,KIRANGARI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.69775,-1.19225,0
A.I.C GIKUNI ACADEMY,CENTRAL,KIAMBU,,KIKUYU,NYATHUNA,KIRANGARI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.69775,-1.19225,0
A.I.C GRACELAND ACADEMY,RIFT VALLEY,BURETI,BURETI,RORET,CHEMOSOT,KABARTEGAN,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.16200,-0.49203,
A.I.C GRACELAND ACADEMY,RIFT VALLEY,BURETI,BURETI,RORET,CHEMOSOT,KABARTEGAN,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.16200,-0.49203,
A.I.C ITHAMBWANGAO SECONDARY,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,MIGWANI,KALILUNI,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.99199,-1.07130,2
A.I.C IVIANI,EASTERN,MACHAKOS,,KATHIANI,KATHIANI,THINU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.27562,-1.43210,0
A.I.C KASOONI PRE-SCHOOL,EASTERN,MACHAKOS,YATTA,KATANGI,KINYAATA,MATHINGAU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.51896,-1.24540,1
A.I.C KASOONI PRIMARY,EASTERN,MACHAKOS,YATTA,KATANGI,KINYAATA,MATHINGAU,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.51896,-1.24540,9
A.I.C KATITHI PRE SCH,EASTERN,MACHAKOS,MWALA,MWALA,VYULYA,MITHANGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.37392,-1.47827,0
A.I.C KATITHI PRI,EASTERN,MACHAKOS,MWALA,MWALA,VYULYA,MITHANGA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.37392,-1.47827,0
A.I.C KAUTHULINI PRE-PRIMARY,EASTERN,MACHAKOS,YATTA,YATTA,KITHIMANI,KITHENDU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.46695,-1.17868,0
A.I.C KAVIANI PRE-SCHOOL,EASTERN,MACHAKOS,KATHIANI,KATHIANI,KAEWA,KALUNGA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.30826,-1.46841,1
A.I.C KIKESA PRE-SCHOOL,EASTERN,MACHAKOS,YATTA,KATANGI,KINYAATA,MATHINGAU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.54200,-1.26653,1
A.I.C KITHIMANI PRIMARY SCHOOL,EASTERN,MACHAKOS,YATTA,YATTA,KITHIMANI,KITHIMANI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.44603,-1.18570,6
A.I.C KITHUIANI NURSERY,EASTERN,MACHAKOS,MWALA,MWALA,MASII,VYULYA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.36985,-1.42361,2
A.I.C KTHIMANI PRE-SCHOOL,EASTERN,MACHAKOS,YATTA,YATTA,KITHIMANI,KITHIMANI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.44603,-1.18570,1
A.I.C KUSUMEK ECD CENTRE,RIFT VALLEY,BURETI,BURETI,BURETI,LITEIN,KUSUMEK,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.18950,-0.55986,
A.I.C KYOME BOYS SECONDARY,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,KYOME,KYOME,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.04720,-1.06219,8
A.I.C KYOME GIRLS,EASTERN,MWINGI,MWINGI SOUTH,MIGWANI,KYOME,KYOME,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.04424,-1.06061,7
A.I.C MACHENGE ECD,EASTERN,MERU NORTH,IGEMBE,IGEMBE,NKINYANGA,LILIABA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.86844,0.25226,1
A.I.C MANYATTA ECD,CENTRAL,NYANDARUA,KINANGOP,NORTH KINANGOP,ENGINEER,KAHURO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.52641,-0.65789,1
A.I.C MASIMBANI ECD,COAST,KWALE,MSAMBWENI,LUNGA LUNGA,KIKONENI,BUMBANI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,39.29614,-4.43093,0
A.I.C MATUU PRE-SCHOOL,EASTERN,MACHAKOS,YATTA,YATTA,MATUU,MATUU,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.54153,-1.14630,1
A.I.C MUNOYWA ECD,WESTERN,VIHIGA,SABATIA,SABATIA,IZAVA,MUNOYWA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,34.74993,0.10085,0
A.I.C MUTITU PRE-SCHOOL,EASTERN,MACHAKOS,KATHIANI,KATHIANI,KATHIANI,LITA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,37.28990,-1.42605,1
A.I.C MUTULANI PRIMARY,EASTERN,MAKUENI,MAKUENI,WOTE,WOTE,MUMBUNI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.56015,-1.85975,10
A.I.C MUTULANI SEC SCH,EASTERN,MAKUENI,MAKUENI,WOTE,WOTE,MUMBUNI,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.56733,-1.86210,4
A.I.C NURSERY SCH,COAST,TAITA TAVETA,VOI,VOI,MACKINON ROAD,MACKINON ROAD,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,39.04327,-3.73113,1
A.I.C PRECIOUS FOUNDATION PRE-SCHOOL,COAST,TAITA TAVETA,TAVETA,TAVETA,CHALA,CHALA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.72665,-3.24378,1
A.I.C PRE-SCHOOL ECD,COAST,TAITA TAVETA,TAVETA,TAVETA,NJUKINI,NJUKINI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.73398,-3.20359,1
A.I.C SIMOTI ACADEMY ECD,RIFT VALLEY,BURETI,KONOIN,KONOIN,SIMOTI,SIMOTI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.29970,-0.61549,
A.I.C SIMOTI ACADEMY PRI,RIFT VALLEY,BURETI,KONOIN,KONOIN,SIMOTI,SIMOTI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.29970,-0.61549,
A.I.C SURUNGAI EDUCATIONAL CENTRE,RIFT VALLEY,NANDI NORTH,MOSOP,KIPKAREN,SURUNGAI,SURUNGAI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,34.97436,0.47648,
A.I.C VOI  SISAL NURSERY,COAST,TAITA TAVETA,VOI,VOI,VOI,MWANGEA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,38.55093,-3.39078,1
A.I.C. KAIANI PRE SCH,EASTERN,MAKUENI,MAKUENI,WOTE,WOTE,MUMBIUNI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.56845,-1.87352,1
A.I.C. KOITABMAT NUR SCH,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,AINAMOI,KENEGUT,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,35.22590,-0.27538,
